"Ausprägung","Jahr","Raumbezug","Mobilitätsziffer","außerstädtisch_Zugezogene","innerstädtisch_Zugezogene","außerstädtisch_Weggezogene","innerstädtisch_Weggezogene","mittlere_Hauptwohnsitzbevölkerung","BezirksID","Gesamtwegzug","Gesamtzuzug"
"deutsch",2024,"Stadt München",177.6,39313,55560,46797,55560,1110801.6,26,102357,94873
"deutsch",2024,"Altstadt",224.3,811,885,768,1024,15549.8,1,1792,1696
"deutsch",2024,"Ludwigsvorstadt",247.7,2011,2362,1983,2741,36723.8,2,4724,4373
"deutsch",2024,"Maxvorstadt",275.2,2493,2656,2286,3091,38247.8,3,5377,5149
"deutsch",2024,"Schwabing-West",215,2383,3057,2480,3225,51843.7,4,5705,5440
"deutsch",2024,"Haidhausen",190.3,1963,2583,1991,2696,48527.4,5,4687,4546
"deutsch",2024,"Sendling",196,1092,1692,1256,1730,29435.8,6,2986,2784
"deutsch",2024,"Sendling-Westpark",176.1,1450,2081,1865,2105,42584.6,7,3970,3531
"deutsch",2024,"Schwanthalerhöhe",200.3,764,1089,869,1173,19441,8,2042,1853
"deutsch",2024,"Neuhausen",191.4,2883,4252,2994,4112,74400.5,9,7106,7135
"deutsch",2024,"Moosach",156.7,1031,1512,1487,1714,36661,10,3201,2543
"deutsch",2024,"Milbertshofen",175,1576,1876,1907,2271,43590.2,11,4178,3452
"deutsch",2024,"Schwabing",199.2,2348,2695,2574,3012,53356.8,12,5586,5043
"deutsch",2024,"Bogenhausen",156.6,2100,2896,2699,2889,67605.8,13,5588,4996
"deutsch",2024,"Berg am Laim",151.5,853,1263,1223,1314,30716.9,14,2537,2116
"deutsch",2024,"Trudering",141.5,1521,2265,2193,2058,56813.8,15,4251,3786
"deutsch",2024,"Ramersdorf",141.1,1969,3006,2791,3062,76727.3,16,5853,4975
"deutsch",2024,"Obergiesing",188.1,1369,1939,1701,1846,36437.3,17,3547,3308
"deutsch",2024,"Untergiesing",184.2,1348,2199,1843,2007,40166.1,18,3850,3547
"deutsch",2024,"Thalkirchen",169.5,2311,3628,2843,3214,70781.8,19,6057,5939
"deutsch",2024,"Hadern",142.8,904,1415,1336,1379,35263.3,20,2715,2319
"deutsch",2024,"Pasing",158.6,1830,2766,2239,2661,59879.8,21,4900,4596
"deutsch",2024,"Aubing",163.7,1183,2461,1456,1340,39350.8,22,2796,3644
"deutsch",2024,"Allach",154,712,1249,950,1161,26445.6,23,2111,1961
"deutsch",2024,"Feldmoching",141.7,1012,1782,1375,1670,41212.1,24,3045,2794
"deutsch",2024,"Laim",181.9,1396,1951,1688,2065,39039,25,3753,3347
"deutsch",2023,"Stadt München",180.6,39710,56716,47371,56716,1110069.2,26,104087,96426
"deutsch",2023,"Altstadt",231.2,844,985,723,1035,15515.9,1,1758,1829
"deutsch",2023,"Ludwigsvorstadt",245,1978,2285,1924,2802,36686.5,2,4726,4263
"deutsch",2023,"Maxvorstadt",274.2,2461,2576,2247,3176,38152.2,3,5423,5037
"deutsch",2023,"Schwabing-West",212.3,2292,2988,2437,3308,51927,4,5745,5280
"deutsch",2023,"Haidhausen",212.8,2071,2991,2191,2983,48104.1,5,5174,5062
"deutsch",2023,"Sendling",199,1053,1625,1318,1871,29480.3,6,3189,2678
"deutsch",2023,"Sendling-Westpark",175.5,1567,2092,1721,2115,42716.7,7,3836,3659
"deutsch",2023,"Schwanthalerhöhe",207.1,752,1112,896,1286,19533.2,8,2182,1864
"deutsch",2023,"Neuhausen",193.8,2634,4218,3139,4350,73999.8,9,7489,6852
"deutsch",2023,"Moosach",154.6,1057,1639,1312,1687,36826.8,10,2999,2696
"deutsch",2023,"Milbertshofen",179.3,1593,1995,1887,2358,43697.7,11,4245,3588
"deutsch",2023,"Schwabing",202.4,2422,2812,2490,3118,53568.2,12,5608,5234
